"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Automation Test Store: As a user, I can access the website","","2","0","6","0","0"
"","","","5","0","0","0","0"
"","Automation Test Store: As a user, I can access the registration form and fill the details","","0","6","12","0","0"
"","The Internet Guinea Pig Website: As a user, I can log into the secure area","","0","0","10","0","0"
"","Automation Test Store: As a user, I can access the  and register","","0","0","8","0","0"
"","Adding Products and proceeding to payment","","0","2","0","0","0"
"","Automation Test Store: As a user, I can access the website and initiate registration","","2","0","6","0","0"
"","Automation Test Store","","0","0","5","0","0"
